Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
3.5713e-05	2	0	0	0	55.5387
0.00503571	2	0	0	0	55.5387
0.0100357	2	0	0	0	55.5387
0.0150357	2	0	0	0	55.5387
0.0185357	2	0	0	0	55.5387
0.0200357	2	1	0	0	55.5387
0.0250357	2	1	0	0	55.5387
0.0300357	2	1	0	0	55.5387
0.0350357	2	1	0	0	55.5387
0.0400357	2	1	0	0	55.5387
0.0450357	2	1	0	0	55.5387
0.0500357	2	1	0	0	55.5387
0.0550357	2	1	0	0	55.5387
0.0600357	2	1	0	0	55.5387
0.0650357	2	1	0	0	55.5387
0.0700357	2	1	0	0	55.5387
0.0750357	2	1	0	0	55.5387
0.0800357	2	1	0	0	55.5387
0.0850357	2	1	0	0	55.5387
0.0900357	2	1	0	0	55.5387
0.0950357	2	1	0	0	55.5387
0.100036	2	1	0	0	55.5387
0.105036	2	1	0	0	55.5387
0.110036	2	1	0	0	55.5387
0.115036	2	1	0	0	55.5387
0.120036	2	1	0	0	55.5387
0.125036	2	1	0	0	55.5387
0.130036	2	1	0	0	55.5387
0.135036	2	1	0	0	55.5387
0.140036	2	1	0	0	55.5387
0.145036	2	1	0	0	55.5387
0.150036	2	1	0	0	55.5387
0.155036	2	1	0	0	55.5387
0.160036	2	1	0	0	55.5387
0.165036	2	1	0	0	55.5387
0.170036	2	1	0	0	55.5387
0.175036	2	1	0	0	55.5387
0.180036	2	1	0	0	55.5387
0.185036	2	1	0	0	55.5387
0.190036	2	1	0	0	55.5387
0.195036	2	1	0	0	55.5387
0.200036	2	1	0	0	55.5387
0.205036	2	1	0	0	55.5387
0.210036	2	1	0	0	55.5387
0.215036	2	1	0	0	55.5387
0.220036	2	1	0	0	55.5387
0.225036	2	1	0	0	55.5387
0.230036	2	1	0	0	55.5387
0.235036	2	1	0	0	55.5387
0.240036	2	1	0	0	55.5387
0.245036	2	1	0	0	55.5387
0.250036	2	1	0	0	55.5387
0.255036	2	1	0	0	55.5387
0.260036	2	1	0	0	55.5387
0.265036	2	1	0	0	55.5387
0.270036	2	1	0	0	55.5387
0.275036	2	1	0	0	55.5387
0.280036	2	1	0	0	55.5387
0.285036	2	1	0	0	55.5387
0.290036	2	1	0	0	55.5387
0.295036	2	1	0	0	55.5387
0.300036	2	1	0	0	55.5387
0.305036	2	1	0	0	55.5387
0.310036	2	1	0	0	55.5387
0.315036	2	1	0	0	55.5387
0.320036	2	1	0	0	55.5387
0.325036	2	1	0	0	55.5387
0.330036	2	1	0	0	55.5387
0.335036	2	1	0	0	55.5387
0.340036	2	1	0	0	55.5387
0.345036	2	1	0	0	55.5387
0.350036	2	1	0	0	55.5387
0.355036	2	1	0	0	55.5387
0.360036	2	1	0	0	55.5387
0.365036	2	1	0	0	55.5387
0.370036	2	1	0	0	55.5387
0.375036	2	1	0	0	55.5387
0.380036	2	1	0	0	55.5387
0.385036	2	1	0	0	55.5387
0.390036	2	1	0	0	55.5387
0.395036	2	1	0	0	55.5387
0.400036	2	1	0	0	55.5387
0.401536	2	1	0	0	55.5387
0.402536	2	1	0	0	55.5387
0.403036	2	1	0	0	55.5387
0.403536	2	1	0	0	55.5387
0.404036	2	1	0	0	55.5387
0.405036	2	1	0	0	55.5387
0.405536	2	1	0	0	55.5387
